BarCode,Itm_Cd,Itm_Name,Itm_Retail_Price_Tax
3061375128017,00328,EXCELLENCE 8.1 LIGT ASH BLONDE  51017,49.940
00341,00341,BIGEN SPEEDY HAIR COLOUR 881 NATURL BLACK,37.800
4987205000126,00341,BIGEN SPEEDY HAIR COLOUR 881 NATURL BLACK,37.800
00354,00354,"CHARBON 162 MG CAP, 45 'S",19.400
00356,00356,"PASSIFLORE 300 MG CAP, 45 'S",68.250
314683,00356,"PASSIFLORE 300 MG CAP, 45 'S",68.250
319660,00356,"PASSIFLORE 300 MG CAP, 45 'S",68.250
3578830110550,00356,"PASSIFLORE 300 MG CAP, 45 'S",68.250
00367,00367,"ZESTRIL 5 MG TAB, 28's",29.550
5000455005228,00367,"ZESTRIL 5 MG TAB, 28's",29.550
00369,00369,"ZESTRIL 10MG TAB, 28's",65.350
5000455005198,00369,"ZESTRIL 10MG TAB, 28's",65.350
00374,00374,"TENORMIN 100 MG TAB, 14's",26.100
5000455017313,00374,"TENORMIN 100 MG TAB, 14's",26.100
00377,00377,TENA SLIP PLUS 1*2 / 50-80CM SMALL,88.000
00390,00390,MEN'S CHOICE NATURAL MEDIUM BROWN,30.450
727510555522,00390,MEN'S CHOICE NATURAL MEDIUM BROWN,30.450
00397,00397,"INDOCID RETARD 75MG CAP, 30's",26.550
00399,00399,JUST FOR MEN REAL BLACK HAIR COLOUR  903,42.780
5010934002174,00399,JUST FOR MEN REAL BLACK HAIR COLOUR  903,42.780
00402,00402,JUST FOR MEN MEDIUM BROWN HAIR COLOUR,42.780
5010934001856,00402,JUST FOR MEN MEDIUM BROWN HAIR COLOUR,42.780
00404,00404,JUST FOR MEN DARK BROWN HAIR COLOUR 902,42.780
318272,00404,JUST FOR MEN DARK BROWN HAIR COLOUR 902,42.780
326640,00404,JUST FOR MEN DARK BROWN HAIR COLOUR 902,42.780
5010934001849,00404,JUST FOR MEN DARK BROWN HAIR COLOUR 902,42.780
00414,00414,"ZOCOR 10MG TAB, 30's",75.700
00010,00010,"CERELAC RICE WITH MILK, 400 GM 2798",22.050
6281019001965,00010,"CERELAC RICE WITH MILK, 400 GM 2798",22.050
6281019002719,00010,"CERELAC RICE WITH MILK, 400 GM 2798",22.050
7613033432811,00010,"CERELAC RICE WITH MILK, 400 GM 2798",22.050
7613034981448,00010,"CERELAC RICE WITH MILK, 400 GM 2798",22.050
00017,00017,"SIMILAC  NEOSURE MILK, 370G",22.050
00021,00021,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 900GM 215-15",66.150
5099864003741,00021,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 900GM 215-15",66.150
5099864005493,00021,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 900GM 215-15",66.150
9415007030218,00021,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 900GM 215-15",66.150
00055,00055,"BLEVIT PLUS BABY 8 CEREALS + HONEY, 300 GM",19.950
8426594253035,00055,"BLEVIT PLUS BABY 8 CEREALS + HONEY, 300 GM",19.950
00060,00060,"MILUPA HERBAL TEA, 200 GM 80402",16.800
4008976593942,00060,"MILUPA HERBAL TEA, 200 GM 80402",16.800
00061,00061,"MILUPA CAMOMILE TEA, 200 GM 80401",16.800
4008976594147,00061,"MILUPA CAMOMILE TEA, 200 GM 80401",16.800
00076,00076,"BLEMIL PLUS NO-1  INFANT MILK, 400 GM 27117",30.450
8426594151959,00076,"BLEMIL PLUS NO-1  INFANT MILK, 400 GM 27117",30.450
8426594271176,00076,"BLEMIL PLUS NO-1  INFANT MILK, 400 GM 27117",30.450
00108,00108,"SIGNAL 2 T/PASTE CAVI/FIGTR D/CAL, 120ML 1500",7.490
6281006412521,00108,"SIGNAL 2 T/PASTE CAVI/FIGTR D/CAL, 120ML 1500",7.490
00109,00109,"CLOSE UP ULTRA WHITENING, 50 ML",5.250
00112,00112,"DEXTROSE SOLUTION 5% STERILIZED, 90ML",4.000
6280656453786,00112,"DEXTROSE SOLUTION 5% STERILIZED, 90ML",4.000
00159,00159,PAMPERS NO 4+ (LARGE+) 9-20 KG 3X36,31.500
00176,00176,PAMPERS NO 4 LETS GO LARGE 9-14 KG 6X17,19.950
00218,00218,"SPASMOTALIN 100MG TA, 20's",9.800
313741,00218,"SPASMOTALIN 100MG TA, 20's",9.800
327060,00218,"SPASMOTALIN 100MG TA, 20's",9.800
6221075011591,00218,"SPASMOTALIN 100MG TA, 20's",9.800
00225,00225,"STRESSTABS 600+ZINC TAB, 30's",13.700
334283,00225,"STRESSTABS 600+ZINC TAB, 30's",13.700
328890,00225,"STRESSTABS 600+ZINC TAB, 30's",13.700
323363,00225,"STRESSTABS 600+ZINC TAB, 30's",13.700
44471,00225,"STRESSTABS 600+ZINC TAB, 30's",13.700
00226,00226,ALWAYS NIGHT SUPER+ 16X8,6.825
00227,00227,ALWAYS SUP+ W/W LARGE 6X(3X10) 20%DISC 1852,13.650
4015400433392,00227,ALWAYS SUP+ W/W LARGE 6X(3X10) 20%DISC 1852,13.650
00234,00234,"ALWAYS SUP+ W/W LARGE 8X(2X10) 10%DISC, 315/70",10.500
4015400416647,00234,"ALWAYS SUP+ W/W LARGE 8X(2X10) 10%DISC, 315/70",10.500
00235,00235,"ELDOPAQUE 2% CREAM, 28.35G",31.300
00289,00289,ROCEPHIN 1 GM IV VIAL 1'S,68.200
322450,00289,ROCEPHIN 1 GM IV VIAL 1'S,68.200
00297,00297,"BACTRIM FORTE 800 / 160 MG TAB, 10 'S",23.300
330681,00297,"BACTRIM FORTE 800 / 160 MG TAB, 10 'S",23.300
6281086000823,00297,"BACTRIM FORTE 800 / 160 MG TAB, 10 'S",23.300
00301,00301,"XENICAL 120MG CAP, 84's",219.200
327105,00301,"XENICAL 120MG CAP, 84's",219.200
319688,00301,"XENICAL 120MG CAP, 84's",219.200
333985,00301,"XENICAL 120MG CAP, 84's",219.200
608050,00301,"XENICAL 120MG CAP, 84's",219.200
00332,00332,RECITAL COLOUR COPPER RED R2,45.150
00335,00335,RECITAL 6.66 ROUGE INTENSE  51041,45.150
3061375271010,00335,RECITAL 6.66 ROUGE INTENSE  51041,45.150
00350,00350,"HARPADOL 435 MG ARKO CAP, 45's",46.200
302567,00350,"HARPADOL 435 MG ARKO CAP, 45's",46.200
305153,00350,"HARPADOL 435 MG ARKO CAP, 45's",46.200
3578830110505,00350,"HARPADOL 435 MG ARKO CAP, 45's",46.200
00364,00364,"COVERSYL 4 MG TAB, 30 'S",65.000
00381,00381,"MODURETIC TAB, 30 'S",17.600
311895,00381,"MODURETIC TAB, 30 'S",17.600
330550,00381,"MODURETIC TAB, 30 'S",17.600
317209,00381,"MODURETIC TAB, 30 'S",17.600
5285003471179,00381,"MODURETIC TAB, 30 'S",17.600
00382,00382,"TENA SLIP PLUS LARGE 3X30, 710333",130.000
7310797103307,00382,"TENA SLIP PLUS LARGE 3X30, 710333",130.000
7322540646917,00382,"TENA SLIP PLUS LARGE 3X30, 710333",130.000
8699114502597,00382,"TENA SLIP PLUS LARGE 3X30, 710333",130.000
00383,00383,"ONE ALPHA 1 MCG CAP, 100 'S",219.400
299083,00383,"ONE ALPHA 1 MCG CAP, 100 'S",219.400
00008,00008,"CERELAC FRUITS CEREALS WITH MILK, 400GM 2808",24.150
6281019002689,00008,"CERELAC FRUITS CEREALS WITH MILK, 400GM 2808",24.150
7613033432767,00008,"CERELAC FRUITS CEREALS WITH MILK, 400GM 2808",24.150
7613034981745,00008,"CERELAC FRUITS CEREALS WITH MILK, 400GM 2808",24.150
6281019001934,00008,"CERELAC FRUITS CEREALS WITH MILK, 400GM 2808",24.150
00019,00019,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 400GM 215-14",30.450
5099864003734,00019,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 400GM 215-14",30.450
5099864005486,00019,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 400GM 215-14",30.450
9415007030201,00019,"SIMILAC GAIN PLUS I.Q NO-3 MILK, 400GM 215-14",30.450
00030,00030,"NAN MILK NO-2 BIFIDUS MILK, 450 GM",23.100
00031,00031,"S-26  AR GOLD BIOFACTORS MILK, 400GM 110",47.250
300086515062,00031,"S-26  AR GOLD BIOFACTORS MILK, 400GM 110",47.250
345707003016,00031,"S-26  AR GOLD BIOFACTORS MILK, 400GM 110",47.250
00067,00067,"BEBELAC NO-1  MILK, 400 GM 10700",30.450
8712400766333,00067,"BEBELAC NO-1  MILK, 400 GM 10700",30.450
00068,00068,"NURSIE GROWING UP MILK, 450 GM",26.250
00069,00069,"NURSIE NO-2 MILK, 400 GM",29.400
3041090022463,00069,"NURSIE NO-2 MILK, 400 GM",29.400
00157,00157,PAMPERS NO. 5 JUNIOR 11-25 KG 6X15 1228,15.750
4015400406662,00157,PAMPERS NO. 5 JUNIOR 11-25 KG 6X15 1228,15.750
00160,00160,PAMPERS NO 5 JUNIOR 11-25 KG 3X34,31.500
00171,00171,PAMPERS NO 4 LARGE 7-18 KG  3X38,31.500
4015400237013,00171,PAMPERS NO 4 LARGE 7-18 KG  3X38,31.500
00174,00174,GARNIER NATEA  PRE LIGHTENER,33.600
3215666420636,00174,GARNIER NATEA  PRE LIGHTENER,33.600
325753,00174,GARNIER NATEA  PRE LIGHTENER,33.600
00196,00196,"SUNSILK HAIR/CR COCONUT, 175ML",14.700
6281006450325,00196,"SUNSILK HAIR/CR COCONUT, 175ML",14.700
00212,00212,"LIFEBUOY PLUS SOAP WHITE, 75 GM",2.100
00213,00213,"LIFEBUOY PLUS SOAP PINK, 75 GM",2.100
00220,00220,"ELDOQUIN FORTE 4% CREAM, 28.35G",30.300
301870394313,00220,"ELDOQUIN FORTE 4% CREAM, 28.35G",30.300
00249,00249,"OXSORALEN LOTION, 29.57 ML",39.950
00252,00252,"OXSORALEN CAP, 100 'S",85.000
10301870600015,00252,"OXSORALEN CAP, 100 'S",85.000
292643,00252,"OXSORALEN CAP, 100 'S",85.000
315522,00252,"OXSORALEN CAP, 100 'S",85.000
00254,00254,"KOTEX MAXI REGUALR, 10 'S",4.725
6281002430192,00254,"KOTEX MAXI REGUALR, 10 'S",4.725
00265,00265,"TILCOTIL  20MGTAB, 10's",25.750
00277,00277,EXCELENCE 1 BLACK COLOR 51001,49.940
3061375114010,00277,EXCELENCE 1 BLACK COLOR 51001,49.940
00279,00279,"RECITAL LIGHT ASH BLONDE ",45.150
00281,00281,"EXCELLENCE L.REDDISH COPPER 6,46",49.350
3061375123012,00281,"EXCELLENCE L.REDDISH COPPER 6,46",49.350
00282,00282,"CAL-C-VITA EFFERVESCENT TAB, 10 'S",13.900
327109,00282,"CAL-C-VITA EFFERVESCENT TAB, 10 'S",13.900
324777,00282,"CAL-C-VITA EFFERVESCENT TAB, 10 'S",13.900
00284,00284,EXCELENCE COLOR 4.54,46.200
00304,00304,EXCELENCE 3 DARK BROWN 51002,57.750
3061375115017,00304,EXCELENCE 3 DARK BROWN 51002,57.750
00306,00306,"NEO MERCAZOLE 5 MG TAB, 100 'S",21.850
327665,00306,"NEO MERCAZOLE 5 MG TAB, 100 'S",21.850
00307,00307,EXCELENCE BLOND CLAIR CUIVERE 8.42,57.750
00319,00319,EXCELENCE 5 LIGHT BROWN 51007,49.940
3061375119015,00319,EXCELENCE 5 LIGHT BROWN 51007,49.940
00321,00321,EXCELENCE 4.3 GOLDEN BROWN 51005,57.750
3061375130010,00321,EXCELENCE 4.3 GOLDEN BROWN 51005,57.750
00322,00322,"REDOXON EFF. TAB, 10's",9.450
324489,00322,"REDOXON EFF. TAB, 10's",9.450
324778,00322,"REDOXON EFF. TAB, 10's",9.450
00323,00323,EXCELENCE 5.3 LIGHT GOLDEN BROWN  51008,49.940
3061375120011,00323,EXCELENCE 5.3 LIGHT GOLDEN BROWN  51008,49.940
00325,00325,EXCELENCE 7 BLONDE 51014,49.940
3061375125016,00325,EXCELENCE 7 BLONDE 51014,49.940
00326,00326,EXCELENCE 6.54 LT. COP MAHOG,49.350
00344,00344,RECITAL DARK REDDISH BLONDE 6.61,45.150
00345,00345,"CUPALINE CAP, 45 'S",93.450
321991,00345,"CUPALINE CAP, 45 'S",93.450
3578830110468,00345,"CUPALINE CAP, 45 'S",93.450
00357,00357,"VALERIAN 350MG CAP, 45's",57.750
314686,00357,"VALERIAN 350MG CAP, 45's",57.750
3578830110604,00357,"VALERIAN 350MG CAP, 45's",57.750
305468,00386,ONE ALPHA 2 MCG DROPS,101.250
00391,00391,"BURINEX 1 MG TAB, 20 'S",6.700
00398,00398,"FUCIDIN SUSPENSION, 90ML",60.200
00405,00405,"PEPCIDIN 20 MG TAB, 30 'S",106.600
00407,00407,"TENDER ADULT SUPER LARGE, ( 6 X15 ) 1617",50.000
5290005000166,00407,"TENDER ADULT SUPER LARGE, ( 6 X15 ) 1617",50.000
00415,00415,"RENITEC 20 MG TAB, 28's",75.300
326198,00415,"RENITEC 20 MG TAB, 28's",75.300
3706808030139,00415,"RENITEC 20 MG TAB, 28's",75.300
306737,00415,"RENITEC 20 MG TAB, 28's",75.300
00421,00421,"SUNSILK SHAMPOO HENNA, 700 ML",24.150
00428,00428,"SELEXID 200 MG TAB, 24's",19.900
00431,00431,"INDOCID 100MG SUPP, 10's",11.150
325560,00431,"INDOCID 100MG SUPP, 10's",11.150
00441,00441,BABY JOY JUMBO JUNIOR 3 X 32,24.150
00444,00444,"TRUSOPT 2% EYE DROP, 5ML",58.650
329309,00444,"TRUSOPT 2% EYE DROP, 5ML",58.650
3706880025085,00444,"TRUSOPT 2% EYE DROP, 5ML",58.650
00451,00451,"PERIACTIN 4MG TAB, 20's",5.200
5285003471216,00451,"PERIACTIN 4MG TAB, 20's",5.200
00478,00478,"HYZAAR TAB, 28's",100.850
3706808060136,00478,"HYZAAR TAB, 28's",100.850
00492,00492,"BANEOCIN  OINT, 20 GM",8.500
00494,00494,"YUTOPAR 10MG TAB, 20's",37.250
330521,00494,"YUTOPAR 10MG TAB, 20's",37.250
315701,00494,"YUTOPAR 10MG TAB, 20's",37.250
325300,00494,"YUTOPAR 10MG TAB, 20's",37.250
3701783010107,00494,"YUTOPAR 10MG TAB, 20's",37.250
306921,00494,"YUTOPAR 10MG TAB, 20's",37.250
00499,00499,"OSPEN 500 MG TAB, 30 'S",21.250
325459,00499,"OSPEN 500 MG TAB, 30 'S",21.250
00503,00503,CURAM  312.5 MG SUSP 100ML,34.750
321470,00503,CURAM  312.5 MG SUSP 100ML,34.750
00508,00508,CURAM 156.25 MG SUSP,20.000
00517,00517,"EUGLUCON 5 MG TAB, 30's",25.000
00528,00528,RECITAL,45.150
00530,00530,"ALDACTONE 100 MG TAB, 10 'S",25.050
302052,00530,"ALDACTONE 100 MG TAB, 10 'S",25.050
00537,00537,SENSODYN TOOTH PASTE FLUORIDE 100ML 67429,28.350
5000198202809,00537,SENSODYN TOOTH PASTE FLUORIDE 100ML 67429,28.350
00547,00547,"SERENACE 1.5MG TAB, 50's",16.450
00553,00553,"CANDEREL TAB, 100 'S  10116-8G",11.220
5010827872167,00553,"CANDEREL TAB, 100 'S  10116-8G",11.220
7640110700174,00553,"CANDEREL TAB, 100 'S  10116-8G",11.220
7640110703595,00553,"CANDEREL TAB, 100 'S  10116-8G",11.220
00555,00555,TARIVID 200MG 10 TAB,51.500
333192,00555,TARIVID 200MG 10 TAB,51.500
324117,00555,TARIVID 200MG 10 TAB,51.500
3582910016687,00555,TARIVID 200MG 10 TAB,51.500
3582910020066,00555,TARIVID 200MG 10 TAB,51.500
3582910040361,00555,TARIVID 200MG 10 TAB,51.500
00561,00561,"PARODONTAX ACTIVE GEL, 50 ML 67520",21.000
331960,00561,"PARODONTAX ACTIVE GEL, 50 ML 67520",21.000
315830,00561,"PARODONTAX ACTIVE GEL, 50 ML 67520",21.000
5000198285505,00561,"PARODONTAX ACTIVE GEL, 50 ML 67520",21.000
00584,00584,"SENSODYN TOOTH PASTE MINT, 100ML 67240",27.300
5000198201857,00584,"SENSODYN TOOTH PASTE MINT, 100ML 67240",27.300
00594,00594,"ELOCOM CREAM, 30G",33.350
333164,00594,"ELOCOM CREAM, 30G",33.350
00631,00631,"TRENTAL 400MG TAB, 20's",27.000
333193,00631,"TRENTAL 400MG TAB, 20's",27.000
3582910051381,00631,"TRENTAL 400MG TAB, 20's",27.000
325760,00631,"TRENTAL 400MG TAB, 20's",27.000
00646,00646,"LANZOR 30 MG CAP, 15 'S",85.750
3334115,00646,"LANZOR 30 MG CAP, 15 'S",85.750
3582910026228,00646,"LANZOR 30 MG CAP, 15 'S",85.750
00658,00658,TENDER ADULT DIAPER SMALL( 6 X15 ) 1613,31.000
5290005000128,00658,TENDER ADULT DIAPER SMALL( 6 X15 ) 1613,31.000
00668,00668,"SEDERGINE EFF TAB, 20's",3.400
00704,00704,"NORMACOL SACHETS, 30 'S",27.500
325213,00704,"NORMACOL SACHETS, 30 'S",27.500
00713,00713,"CELESTONE 0.5 MG TAB, 30 'S",8.600
00725,00725,FAM ROMANCE 3X4X10 L310R01,12.600
6281017220207,00725,FAM ROMANCE 3X4X10 L310R01,12.600
00727,00727,"RIALAC SYRUP, 200ML",11.100
328942,00727,"RIALAC SYRUP, 200ML",11.100
6281080001000,00727,"RIALAC SYRUP, 200ML",11.100
304194,00727,"RIALAC SYRUP, 200ML",11.100
00733,00733,FAM RELAX MATERNITY 10X20 L500,12.600
6281017220092,00733,FAM RELAX MATERNITY 10X20 L500,12.600
00745,00745,"FLAMAZINE CREAM, 50G",13.950
327058,00745,"FLAMAZINE CREAM, 50G",13.950
3706811010142,00414,"ZOCOR 10MG TAB, 30's",75.700
00429,00429,"FUCICORT CREAM, 15G",19.250
328342,00429,"FUCICORT CREAM, 15G",19.250
328348,00429,"FUCICORT CREAM, 15G",19.250
305478,00429,"FUCICORT CREAM, 15G",19.250
00439,00439,BIGEN SPEEDY HAIR COLOUR 882 BROWNISH BLACK,37.800
4987205000140,00439,BIGEN SPEEDY HAIR COLOUR 882 BROWNISH BLACK,37.800
00450,00450,"DAIVOBET OINT, 30G",102.500
331474,00450,"DAIVOBET OINT, 30G",102.500
325527,00450,"DAIVOBET OINT, 30G",102.500
00452,00452,"SANITA ELEGANCE SMALL, 4X16",30.000
00466,00466,"LADY SPEED STICK INV.DRY POWDER FRESH,1.4 OZ 50001",16.800
022200963695,00466,"LADY SPEED STICK INV.DRY POWDER FRESH,1.4 OZ 50001",16.800
00479,00479,"TIMOPTOL 0.5% EYE DROP, 5ML",33.100
329909,00479,"TIMOPTOL 0.5% EYE DROP, 5ML",33.100
3706880035084,00479,"TIMOPTOL 0.5% EYE DROP, 5ML",33.100
00485,00485,BABY JOY SMALL 3.5 - 7 KG  6X26,12.600
00491,00491,"DUPHASTON 10MG TAB, 20's",52.900
330465,00491,"DUPHASTON 10MG TAB, 20's",52.900
325910,00491,"DUPHASTON 10MG TAB, 20's",52.900
00493,00493,"LASIX 40 MG TAB, 20 'S",20.200
333194,00493,"LASIX 40 MG TAB, 20 'S",20.200
322008,00493,"LASIX 40 MG TAB, 20 'S",20.200
324118,00493,"LASIX 40 MG TAB, 20 'S",20.200
3582910029267,00493,"LASIX 40 MG TAB, 20 'S",20.200
00495,00495,"OSPEN 1000 MG TAB, 30 'S",27.400
333860,00495,"OSPEN 1000 MG TAB, 30 'S",27.400
